condition,outcome,outcome_distance,source_ids,evidence_strength,qualitative_direction_only,transport_notes,target_effect_present
Model accuracy,policy_role_mean,intermediate,HAUSFATHER2020;ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,moderate,uncertain; null and negative allowed,"historical model-skill evidence; institutional-role evidence and policy-distance discount. Match wording, scale, population, control, and headroom before numerical use.",no
Model accuracy,inst_trust_mean,intermediate,HAUSFATHER2020;ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,moderate,uncertain; null and negative allowed,"historical model-skill evidence; broader institutional trust; stronger transport penalty. Match wording, scale, population, control, and headroom before numerical use.",no
Model accuracy,belief_post,intermediate,HAUSFATHER2020;ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,moderate,uncertain; null and negative allowed,"historical model-skill evidence; belief and scientific-consensus experiments. Match wording, scale, population, control, and headroom before numerical use.",no
Model accuracy,concern_mean,intermediate,HAUSFATHER2020;ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,moderate,uncertain; null and negative allowed,"historical model-skill evidence; worry/concern experiments; ceiling effects likely. Match wording, scale, population, control, and headroom before numerical use.",no
Model accuracy,policy_general,distal,HAUSFATHER2020;ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,moderate,uncertain; null and negative allowed,"historical model-skill evidence; policy support generally smaller than belief effects. Match wording, scale, population, control, and headroom before numerical use.",no
Model accuracy,policy_specific_mean,distal,HAUSFATHER2020;ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,moderate,uncertain; null and negative allowed,"historical model-skill evidence; specific-policy evidence; ideological resistance plausible. Match wording, scale, population, control, and headroom before numerical use.",no
Model accuracy,behavior_mean,distal,HAUSFATHER2020;ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,moderate,uncertain; null and negative allowed,"historical model-skill evidence; intentions do not inherit attitude effects automatically. Match wording, scale, population, control, and headroom before numerical use.",no
Model accuracy,donation_ams,behavioral,HAUSFATHER2020;ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;VLASCEANU2024_BEHAVIOR;NISA2019;GOLDWERT2026_BASELINE;GOLDWERT2026_EFFECT,low,near-null prior; either sign allowed,"historical model-skill evidence; observed donation experiments only; null is default absent direct evidence. Match wording, scale, population, control, and headroom before numerical use.",no
Model accuracy,newsletter_signup,behavioral,HAUSFATHER2020;ORCHINIK2024_HISTORY;ORCHINIK2024_INSTITUTIONS;VLASCEANU2024_BEHAVIOR;NISA2019;GOLDWERT2026_BASELINE;GOLDWERT2026_EFFECT,low,near-null prior; either sign allowed,"historical model-skill evidence; binary conversion evidence only; probability-scale effects. Match wording, scale, population, control, and headroom before numerical use.",no
Interview Prof. Sebille,trust_multidimensional,proximal,ORCHINIK2024_HISTORY;ANNENBERG2024;RODE2021;ASHOKKUMAR2026_MEGA;VOELKEL2026,low,uncertain; null and negative allowed,"scientist credibility and explanatory-message evidence; trust/credibility evidence receives greatest weight. Match wording, scale, population, control, and headroom before numerical use.",no
Interview Prof. Sebille,trust_post,proximal,ORCHINIK2024_HISTORY;ANNENBERG2024;RODE2021;ASHOKKUMAR2026_MEGA;VOELKEL2026,low,uncertain; null and negative allowed,"scientist credibility and explanatory-message evidence; general scientist-trust evidence. Match wording, scale, population, control, and headroom before numerical use.",no
Interview Prof. Sebille,distrust_post,proximal,ORCHINIK2024_HISTORY;ANNENBERG2024;RODE2021;ASHOKKUMAR2026_MEGA;VOELKEL2026,low,"usually nonpositive, but backfire/null allowed","scientist credibility and explanatory-message evidence; reverse-valence trust evidence; negative effects remain possible. Match wording, scale, population, control, and headroom before numerical use.",no
Interview Prof. Sebille,funding_perceptions,proximal,ORCHINIK2024_HISTORY;ANNENBERG2024;RODE2021;ASHOKKUMAR2026_MEGA;VOELKEL2026,low,uncertain; null and negative allowed,"scientist credibility and explanatory-message evidence; funding condition is especially direct; otherwise transport cautiously. Match wording, scale, population, control, and headroom before numerical use.",no
Interview Prof. Sebille,policy_role_mean,intermediate,ORCHINIK2024_HISTORY;ANNENBERG2024;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"scientist credibility and explanatory-message evidence; institutional-role evidence and policy-distance discount. Match wording, scale, population, control, and headroom before numerical use.",no
Interview Prof. Sebille,inst_trust_mean,intermediate,ORCHINIK2024_HISTORY;ANNENBERG2024;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"scientist credibility and explanatory-message evidence; broader institutional trust; stronger transport penalty. Match wording, scale, population, control, and headroom before numerical use.",no
Interview Prof. Sebille,belief_post,intermediate,ORCHINIK2024_HISTORY;ANNENBERG2024;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"scientist credibility and explanatory-message evidence; belief and scientific-consensus experiments. Match wording, scale, population, control, and headroom before numerical use.",no
Interview Prof. Sebille,concern_mean,intermediate,ORCHINIK2024_HISTORY;ANNENBERG2024;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,low,uncertain; null and negative allowed,"scientist credibility and explanatory-message evidence; worry/concern experiments; ceiling effects likely. Match wording, scale, population, control, and headroom before numerical use.",no
Interview Prof. Sebille,policy_general,distal,ORCHINIK2024_HISTORY;ANNENBERG2024;RODE2021;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"scientist credibility and explanatory-message evidence; policy support generally smaller than belief effects. Match wording, scale, population, control, and headroom before numerical use.",no
Interview Prof. Sebille,policy_specific_mean,distal,ORCHINIK2024_HISTORY;ANNENBERG2024;RODE2021;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"scientist credibility and explanatory-message evidence; specific-policy evidence; ideological resistance plausible. Match wording, scale, population, control, and headroom before numerical use.",no
Interview Prof. Sebille,behavior_mean,distal,ORCHINIK2024_HISTORY;ANNENBERG2024;RODE2021;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,low,uncertain; null and negative allowed,"scientist credibility and explanatory-message evidence; intentions do not inherit attitude effects automatically. Match wording, scale, population, control, and headroom before numerical use.",no
Interview Prof. Sebille,donation_ams,behavioral,ORCHINIK2024_HISTORY;ANNENBERG2024;RODE2021;VLASCEANU2024_BEHAVIOR;NISA2019;GOLDWERT2026_BASELINE;GOLDWERT2026_EFFECT,low,near-null prior; either sign allowed,"scientist credibility and explanatory-message evidence; observed donation experiments only; null is default absent direct evidence. Match wording, scale, population, control, and headroom before numerical use.",no
Interview Prof. Sebille,newsletter_signup,behavioral,ORCHINIK2024_HISTORY;ANNENBERG2024;RODE2021;VLASCEANU2024_BEHAVIOR;NISA2019;GOLDWERT2026_BASELINE;GOLDWERT2026_EFFECT,low,near-null prior; either sign allowed,"scientist credibility and explanatory-message evidence; binary conversion evidence only; probability-scale effects. Match wording, scale, population, control, and headroom before numerical use.",no
Extreme weather predictions,trust_multidimensional,proximal,THOMASWALTERS2026_ATTRIBUTION;THOMASWALTERS2026_DISTAL;RODE2021;ASHOKKUMAR2026_MEGA;VOELKEL2026,moderate,uncertain; null and negative allowed,"direct extreme-weather attribution evidence; trust/credibility evidence receives greatest weight. Match wording, scale, population, control, and headroom before numerical use.",no
Extreme weather predictions,trust_post,proximal,THOMASWALTERS2026_ATTRIBUTION;THOMASWALTERS2026_DISTAL;RODE2021;ASHOKKUMAR2026_MEGA;VOELKEL2026,moderate,uncertain; null and negative allowed,"direct extreme-weather attribution evidence; general scientist-trust evidence. Match wording, scale, population, control, and headroom before numerical use.",no
Extreme weather predictions,distrust_post,proximal,THOMASWALTERS2026_ATTRIBUTION;THOMASWALTERS2026_DISTAL;RODE2021;ASHOKKUMAR2026_MEGA;VOELKEL2026,moderate,"usually nonpositive, but backfire/null allowed","direct extreme-weather attribution evidence; reverse-valence trust evidence; negative effects remain possible. Match wording, scale, population, control, and headroom before numerical use.",no
Extreme weather predictions,funding_perceptions,proximal,THOMASWALTERS2026_ATTRIBUTION;THOMASWALTERS2026_DISTAL;RODE2021;ASHOKKUMAR2026_MEGA;VOELKEL2026,moderate,uncertain; null and negative allowed,"direct extreme-weather attribution evidence; funding condition is especially direct; otherwise transport cautiously. Match wording, scale, population, control, and headroom before numerical use.",no
Extreme weather predictions,policy_role_mean,intermediate,THOMASWALTERS2026_ATTRIBUTION;THOMASWALTERS2026_DISTAL;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,moderate,uncertain; null and negative allowed,"direct extreme-weather attribution evidence; institutional-role evidence and policy-distance discount. Match wording, scale, population, control, and headroom before numerical use.",no
Extreme weather predictions,inst_trust_mean,intermediate,THOMASWALTERS2026_ATTRIBUTION;THOMASWALTERS2026_DISTAL;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,moderate,uncertain; null and negative allowed,"direct extreme-weather attribution evidence; broader institutional trust; stronger transport penalty. Match wording, scale, population, control, and headroom before numerical use.",no
Extreme weather predictions,belief_post,intermediate,THOMASWALTERS2026_ATTRIBUTION;THOMASWALTERS2026_DISTAL;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,moderate,small positive; frame-specific evidence exists,"direct extreme-weather attribution evidence; belief and scientific-consensus experiments. Match wording, scale, population, control, and headroom before numerical use.",no
Extreme weather predictions,concern_mean,intermediate,THOMASWALTERS2026_ATTRIBUTION;THOMASWALTERS2026_DISTAL;RODE2021;VLASCEANU2024_BELIEF;VOELKEL2026,moderate,small positive; frame-specific evidence exists,"direct extreme-weather attribution evidence; worry/concern experiments; ceiling effects likely. Match wording, scale, population, control, and headroom before numerical use.",no
Extreme weather predictions,policy_general,distal,THOMASWALTERS2026_ATTRIBUTION;THOMASWALTERS2026_DISTAL;RODE2021;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,moderate,uncertain; null and negative allowed,"direct extreme-weather attribution evidence; policy support generally smaller than belief effects. Match wording, scale, population, control, and headroom before numerical use.",no
Extreme weather predictions,policy_specific_mean,distal,THOMASWALTERS2026_ATTRIBUTION;THOMASWALTERS2026_DISTAL;RODE2021;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,moderate,uncertain; null and negative allowed,"direct extreme-weather attribution evidence; specific-policy evidence; ideological resistance plausible. Match wording, scale, population, control, and headroom before numerical use.",no
Extreme weather predictions,behavior_mean,distal,THOMASWALTERS2026_ATTRIBUTION;THOMASWALTERS2026_DISTAL;RODE2021;VLASCEANU2024_POLICY;VOELKEL2026;GOLDWERT2026_EFFECT,moderate,uncertain; null and negative allowed,"direct extreme-weather attribution evidence; intentions do not inherit attitude effects automatically. Match wording, scale, population, control, and headroom before numerical use.",no
Extreme weather predictions,donation_ams,behavioral,THOMASWALTERS2026_ATTRIBUTION;THOMASWALTERS2026_DISTAL;RODE2021;VLASCEANU2024_BEHAVIOR;NISA2019;GOLDWERT2026_BASELINE;GOLDWERT2026_EFFECT,low,near-null prior; either sign allowed,"direct extreme-weather attribution evidence; observed donation experiments only; null is default absent direct evidence. Match wording, scale, population, control, and headroom before numerical use.",no
Extreme weather predictions,newsletter_signup,behavioral,THOMASWALTERS2026_ATTRIBUTION;THOMASWALTERS2026_DISTAL;RODE2021;VLASCEANU2024_BEHAVIOR;NISA2019;GOLDWERT2026_BASELINE;GOLDWERT2026_EFFECT,low,near-null prior; either sign allowed,"direct extreme-weather attribution evidence; binary conversion evidence only; probability-scale effects. Match wording, scale, population, control, and headroom before numerical use.",no
